GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
poverty-indicator,com.bb.domain.service,PovertyIndicatorService,0,18,0,0,0,4,0,2,0,2
poverty-indicator,com.bb.domain.service,CountriesService,0,10,0,0,0,3,0,2,0,2
poverty-indicator,com.bb.domain.integration.worldbank.dto,WorldBankPovertyDto.SourceData.SourceDataBuilder,81,0,0,0,1,0,11,0,11,0
poverty-indicator,com.bb.domain.integration.worldbank.dto,WorldBankPovertyDto.Indicator,117,11,22,0,4,2,19,3,8,3
poverty-indicator,com.bb.domain.integration.worldbank.dto,WorldBankPovertyDto.Country.CountryBuilder,27,0,0,0,1,0,5,0,5,0
poverty-indicator,com.bb.domain.integration.worldbank.dto,WorldBankPovertyDto.SourceInfo.SourceInfoBuilder,72,0,0,0,1,0,10,0,10,0
poverty-indicator,com.bb.domain.integration.worldbank.dto,WorldBankPovertyDto.SourceInfo,312,31,62,0,10,2,44,8,13,8
poverty-indicator,com.bb.domain.integration.worldbank.dto,WorldBankPovertyDto.WorldBankPovertyDtoBuilder,37,0,0,0,1,0,6,0,6,0
poverty-indicator,com.bb.domain.integration.worldbank.dto,WorldBankPovertyDto.Indicator.IndicatorBuilder,27,0,0,0,1,0,5,0,5,0
poverty-indicator,com.bb.domain.integration.worldbank.dto,WorldBankPovertyDto.SourceData,342,44,70,0,8,5,46,12,11,12
poverty-indicator,com.bb.domain.integration.worldbank.dto,WorldBankCountriesDto,78,19,14,0,4,7,14,3,7,3
poverty-indicator,com.bb.domain.integration.worldbank.dto,WorldBankPovertyDto,157,66,24,0,6,15,24,3,12,3
poverty-indicator,com.bb.domain.integration.worldbank.dto,WorldBankCountriesDto.Country,15,9,0,0,2,3,2,3,2,3
poverty-indicator,com.bb.domain.integration.worldbank.dto,WorldBankPovertyDto.Country,114,14,22,0,3,3,18,4,7,4
poverty-indicator,com.bb.domain.exception,HandlerControllerException,0,15,0,0,0,4,0,2,0,2
poverty-indicator,com.bb.domain.service.dto,CountriesResponseDto,106,19,22,0,1,3,17,4,6,4
poverty-indicator,com.bb.domain.service.dto,PovertyIndicatorResponseDto.PovertyIndicatorResponseDtoBuilder,10,35,0,0,0,1,1,6,1,6
poverty-indicator,com.bb.domain.service.dto,PovertyIndicatorResponseDto,180,31,38,0,1,5,27,6,8,6
poverty-indicator,com.bb.domain.service.dto,CountriesResponseDto.CountriesResponseDtoBuilder,6,21,0,0,0,1,1,4,1,4
poverty-indicator,com.bb.domain.exception.dto,ApiExceptionDto,106,15,22,0,1,3,17,3,6,3
poverty-indicator,com.bb.config,Swagger,0,3,0,0,0,1,0,1,0,1
poverty-indicator,com.bb.domain.integration.worldbank,WorldBankException,43,0,0,0,8,0,3,0,3,0
poverty-indicator,com.bb.domain.web,PovertyController,0,10,0,0,0,2,0,2,0,2
poverty-indicator,com.bb.domain.web,CountriesController,0,9,0,0,0,2,0,2,0,2
